Catchment,Period,cliffs_delta,ci_low,ci_high,Indicator,Comparison
25006,2080s,-0.875,-1,-0.6445944666185872,Pct_BFI,SSP5 vs SSP1
25030,2080s,-0.8611111111111112,-1,-0.6287693901621206,Pct_BFI,SSP5 vs SSP1
25034,2080s,-0.7083333333333334,-0.9571428571428572,-0.3428798259560763,Pct_BFI,SSP5 vs SSP1
26021,2080s,-0.7083333333333334,-0.958041958041958,-0.3335979694875571,Pct_BFI,SSP5 vs SSP1
26058,2080s,-0.8194444444444444,-1,-0.5245123720270684,Pct_BFI,SSP5 vs SSP1
27002,2080s,-0.75,-0.9996471517943677,-0.38571428571428573,Pct_BFI,SSP5 vs SSP1
30007,2080s,-0.7361111111111112,-0.9571428571428572,-0.38461538461538464,Pct_BFI,SSP5 vs SSP1
32012,2080s,-0.7916666666666666,-1,-0.5,Pct_BFI,SSP5 vs SSP1
33001,2080s,-0.625,-0.9327044347853879,-0.25718346464864017,Pct_BFI,SSP5 vs SSP1
34001,2080s,-0.7222222222222222,-0.9684853638457758,-0.38461538461538464,Pct_BFI,SSP5 vs SSP1
35002,2080s,-0.7916666666666666,-0.9861086436411417,-0.4859704713022402,Pct_BFI,SSP5 vs SSP1
35005,2080s,-0.9027777777777778,-1,-0.7062937062937062,Pct_BFI,SSP5 vs SSP1
36015,2080s,-0.8611111111111112,-1,-0.6111917621295413,Pct_BFI,SSP5 vs SSP1
36019,2080s,-0.875,-1,-0.6428571428571428,Pct_BFI,SSP5 vs SSP1
38001,2080s,-0.9305555555555556,-1,-0.722447570656071,Pct_BFI,SSP5 vs SSP1
39009,2080s,-0.7638888888888888,-0.9720279720279721,-0.43703703703703706,Pct_BFI,SSP5 vs SSP1
6013,2080s,-0.6527777777777778,-0.9305432182057083,-0.25,Pct_BFI,SSP5 vs SSP1
6014,2080s,-0.7083333333333334,-0.9661819619648014,-0.3291426154354941,Pct_BFI,SSP5 vs SSP1
7009,2080s,-0.6805555555555556,-0.957102531633642,-0.31254536619786694,Pct_BFI,SSP5 vs SSP1
7012,2080s,-0.7222222222222222,-0.9720127442133033,-0.3333333333333333,Pct_BFI,SSP5 vs SSP1
12001,2080s,-0.6944444444444444,-0.9720279720279721,-0.29428485443557706,Pct_BFI,SSP3 vs SSP1
14007,2080s,-0.7916666666666666,-1,-0.41691834860355087,Pct_BFI,SSP3 vs SSP1
15003,2080s,-0.8194444444444444,-1,-0.4969552550053323,Pct_BFI,SSP3 vs SSP1
15006,2080s,-0.8611111111111112,-1,-0.5524475524475525,Pct_BFI,SSP3 vs SSP1
15007,2080s,-0.8888888888888888,-1,-0.6363636363636364,Pct_BFI,SSP3 vs SSP1
16008,2080s,-0.8611111111111112,-1,-0.5714285714285714,Pct_BFI,SSP3 vs SSP1
16011,2080s,-0.8472222222222222,-1,-0.5555555555555556,Pct_BFI,SSP3 vs SSP1
18002,2080s,-0.75,-1,-0.37142857142857144,Pct_BFI,SSP3 vs SSP1
18003,2080s,-0.7777777777777778,-1,-0.37507056964112634,Pct_BFI,SSP3 vs SSP1
18006,2080s,-0.8055555555555556,-1,-0.4666666666666667,Pct_BFI,SSP3 vs SSP1
18050,2080s,-0.8055555555555556,-1,-0.46671404209008016,Pct_BFI,SSP3 vs SSP1
22006,2080s,-0.8611111111111112,-1,-0.625,Pct_BFI,SSP3 vs SSP1
22035,2080s,-0.8888888888888888,-1,-0.6593882256896626,Pct_BFI,SSP3 vs SSP1
23002,2080s,-0.8055555555555556,-1,-0.4371265239479292,Pct_BFI,SSP3 vs SSP1
24008,2080s,-0.6527777777777778,-0.9714285714285714,-0.2727272727272727,Pct_BFI,SSP3 vs SSP1
24030,2080s,-0.7083333333333334,-0.9860063721066518,-0.33357021045040075,Pct_BFI,SSP3 vs SSP1
25001,2080s,-0.875,-1,-0.5926219966097286,Pct_BFI,SSP3 vs SSP1
25002,2080s,-0.8055555555555556,-1,-0.5385732091024417,Pct_BFI,SSP3 vs SSP1
25006,2080s,-0.8888888888888888,-1,-0.625,Pct_BFI,SSP3 vs SSP1
25030,2080s,-0.8472222222222222,-1,-0.5527162785887635,Pct_BFI,SSP3 vs SSP1
25034,2080s,-0.75,-0.9787765156056939,-0.41263055806230703,Pct_BFI,SSP3 vs SSP1
26021,2080s,-0.75,-0.9722172872822833,-0.40289539384632167,Pct_BFI,SSP3 vs SSP1
26058,2080s,-0.7777777777777778,-1,-0.4266241859556553,Pct_BFI,SSP3 vs SSP1
27002,2080s,-0.7361111111111112,-1,-0.3474615668092591,Pct_BFI,SSP3 vs SSP1
30007,2080s,-0.6666666666666666,-0.9444444444444444,-0.29187837559004565,Pct_BFI,SSP3 vs SSP1
32012,2080s,-0.75,-0.9996471517943677,-0.4266241859556553,Pct_BFI,SSP3 vs SSP1
33001,2080s,-0.5833333333333334,-0.9285714285714286,-0.1429586616216003,Pct_BFI,SSP3 vs SSP1
34001,2080s,-0.638888888888889,-0.9375,-0.24285714285714285,Pct_BFI,SSP3 vs SSP1
35002,2080s,-0.6944444444444444,-0.9555555555555556,-0.32857142857142857,Pct_BFI,SSP3 vs SSP1
35005,2080s,-0.875,-1,-0.6483539762681,Pct_BFI,SSP3 vs SSP1
36015,2080s,-0.75,-0.9831497890166727,-0.4266241859556553,Pct_BFI,SSP3 vs SSP1
36019,2080s,-0.9027777777777778,-1,-0.7,Pct_BFI,SSP3 vs SSP1
38001,2080s,-0.75,-0.984375,-0.3709846863049718,Pct_BFI,SSP3 vs SSP1
39009,2080s,-0.6388888888888888,-0.9166518618468499,-0.2714285714285714,Pct_BFI,SSP3 vs SSP1
6013,2080s,-0.6388888888888888,-0.9259259259259259,-0.25718346464864017,Pct_BFI,SSP3 vs SSP1
6014,2080s,-0.6666666666666666,-0.9373799130056462,-0.27797940532385307,Pct_BFI,SSP3 vs SSP1
7009,2080s,-0.7083333333333334,-0.9714285714285714,-0.3474615668092591,Pct_BFI,SSP3 vs SSP1
7012,2080s,-0.6944444444444444,-0.9583333333333334,-0.3194444444444444,Pct_BFI,SSP3 vs SSP1
