Q95,Q7min,BFI,Q710,MAF,Qmed,Q10,MaxQ,MedAMax,Max30Day,Flashiness,RBI,CV,Model,Period,Scenario,Catchment
16.49555,14.54914286,0.413277736,14.7917,58.94885663,43.4205,124.31,342.21,246.015,5120.284,9.274986284,0.125823889,77.13698932,CM11.ssp3,2050s,ssp3,18003
17.50985,14.50942857,0.449182012,15.1023,61.98656507,44.912,128.133,467.51,264.935,5820.564,9.255818868,0.137303428,77.58365203,CM12.ssp3,2050s,ssp3,18003
15.253,14.02428571,0.351845447,14.3453,56.39976344,37.605,126.092,535.44,260.64,6909.52,10.26027667,0.138589744,87.93062274,CM1.ssp3,2080s,ssp3,18003
15.6424,14.074,0.364818825,14.4235,58.27824258,41.266,123.3,479.81,248.8,6122.113,9.798624252,0.136889634,82.02414517,CM2.ssp3,2080s,ssp3,18003
15.554,14.17057143,0.385991334,14.2313,58.35623245,40.971,124.91,409.55,258.375,5247.22,10.09309502,0.132530712,82.04679185,CM3.ssp3,2080s,ssp3,18003
15.981,14.31771429,0.359937606,14.4126,67.08662727,45.724,146.06,579.41,316.875,6127.3,11.6702334,0.148260956,86.72383922,CM4.ssp3,2080s,ssp3,18003
14.745,13.902,0.332845131,14.0537,57.39005394,38.688,126.672,348.55,249.29,5627.138,10.73516446,0.137307555,85.79917869,CM5.ssp3,2080s,ssp3,18003
15.2818,14.00871429,0.374586855,14.3109,56.52627608,39.96,119.93,348.86,247.805,6058.01,9.735240613,0.126209063,81.31287036,CM6.ssp3,2080s,ssp3,18003
15.3616,14.09528571,0.383266407,14.3613,55.28269535,37.85,118.632,553,250.75,5276.237,9.55030726,0.133958772,83.15205772,CM7.ssp3,2080s,ssp3,18003
15.713,14.39857143,0.388366928,14.6819,55.52223537,37.96,122.874,342.57,243.045,5537.933,9.598548972,0.125919745,81.97172992,CM8.ssp3,2080s,ssp3,18003
15.9536,14.51828571,0.399754992,14.5711,57.66281966,41.811,122.96,478.98,230.82,5149.05,9.649608866,0.135102428,79.09017119,CM9.ssp3,2080s,ssp3,18003
16.522,14.35857143,0.4077475,14.7598,59.35290837,41.287,129.664,354.44,251.33,4941.09,9.520760199,0.133516735,79.4610691,CM10.ssp3,2080s,ssp3,18003
15.975,14.28357143,0.379391334,14.7263,58.18266788,40.957,126.38,394,218.79,5774.43,9.46829421,0.12818199,79.63484851,CM11.ssp3,2080s,ssp3,18003
17.1336,14.40271429,0.437434853,14.615,58.47956512,41.375,123.616,555.49,246.255,5837.833,9.18499323,0.132547829,80.68290469,CM12.ssp3,2080s,ssp3,18003
17.2408,14.70142857,0.453987946,15.2421,58.82369839,44.084,121.356,424.12,224.68,5023.17,8.608678252,0.127356377,74.01573273,CM1.ssp5,Baseline,ssp5,18003
17.6527,14.57242857,0.449595552,15.4321,59.48179403,46.632,116.873,451.76,216.375,5411.754,8.006338974,0.121313475,70.79087516,CM2.ssp5,Baseline,ssp5,18003
17.3477,14.70585714,0.458132844,15.2687,56.84923125,43.4785,114.862,334.7,223.6,4806.978,8.021899157,0.12184748,71.08403935,CM3.ssp5,Baseline,ssp5,18003
16.92185,14.57185714,0.444121229,15.0302,56.13275917,42.059,114.543,336.67,232.855,4965.92,8.272174733,0.121443193,74.39125227,CM4.ssp5,Baseline,ssp5,18003
17.14385,14.40628571,0.457439635,15.0264,58.0043747,44.594,116.318,416.8,216.43,5325.667,8.184771799,0.122062858,71.17901356,CM5.ssp5,Baseline,ssp5,18003
17.18585,14.33685714,0.463255538,14.9625,56.34309327,42.048,115.043,329.68,213.06,5018.738,8.157815878,0.114119234,72.49271661,CM6.ssp5,Baseline,ssp5,18003
17.73695,14.39971429,0.454969214,15.4255,58.92156908,44.784,117.583,385.37,239.3,5164.65,8.159942944,0.123577405,73.24895903,CM7.ssp5,Baseline,ssp5,18003
17.31185,14.78271429,0.456622445,15.2861,56.39779713,41.0855,118.243,295.84,218.32,4821.195,8.335388765,0.121363418,73.85317458,CM8.ssp5,Baseline,ssp5,18003
18.14325,14.825,0.470993539,15.073,57.68019675,43.375,115.739,305.67,218.905,5061.52,7.791189561,0.124882047,71.21855876,CM9.ssp5,Baseline,ssp5,18003
17.2584,14.33271429,0.441824872,14.9917,58.56279631,42.928,121.636,321.3,244.14,5857.43,8.849313957,0.125636763,76.17730715,CM10.ssp5,Baseline,ssp5,18003
16.647,14.44442857,0.458708205,14.5915,56.90055183,43.017,117.376,332.66,216.615,5327.51,8.582357181,0.115335776,72.60889766,CM11.ssp5,Baseline,ssp5,18003
17.966,15.36728571,0.467878997,15.7059,60.20092836,46.418,120.959,340.63,219.845,5021.01,8.171323611,0.123664203,70.12921821,CM12.ssp5,Baseline,ssp5,18003
16.6198,14.21228571,0.421485964,14.6124,57.60096906,41.476,121.756,418.56,236.91,6083.913,8.92489681,0.127941247,77.37580904,CM1.ssp5,2020s,ssp5,18003
16.9078,14.449,0.42434722,14.6253,60.19127453,45.881,121.086,526.35,262.34,5513.326,8.813683625,0.135350393,77.40536888,CM2.ssp5,2020s,ssp5,18003
16.4872,14.65242857,0.432834827,14.6932,60.9447262,47.25,123.306,380.69,248.5,5127.488,9.088868941,0.128680675,73.58339944,CM3.ssp5,2020s,ssp5,18003
17.1618,14.39385714,0.416723082,14.8339,68.85387743,52.099,139.588,499.16,285.185,6057.717,10.04311902,0.139664625,76.71643839,CM4.ssp5,2020s,ssp5,18003
16.0456,14.09814286,0.405670991,14.6499,56.58526367,41.406,119.482,330.8,222.91,5500.14,9.211621878,0.125772551,77.47092277,CM5.ssp5,2020s,ssp5,18003
17.28,14.39457143,0.437612408,15.0852,59.68295126,43.762,123.46,417.37,232.37,5355.77,8.679282407,0.124486725,74.6351062,CM6.ssp5,2020s,ssp5,18003
16.704,14.31985714,0.433123767,14.6368,56.09020298,41.751,116.026,336.4,234.705,4935.089,8.665948276,0.125358185,75.81121295,CM7.ssp5,2020s,ssp5,18003
17.2222,14.43928571,0.435448569,14.7283,59.59601625,42.955,124.508,304.4,235.905,5944.83,8.882256622,0.126354893,75.76917043,CM8.ssp5,2020s,ssp5,18003
16.9398,14.25185714,0.429890992,14.8113,56.03280935,39.972,118.996,376.47,236.015,5366.1,8.625603608,0.12868881,77.29308158,CM9.ssp5,2020s,ssp5,18003
18.0046,14.68828571,0.470563194,15.5919,60.45734206,45.891,121.728,345.86,234.24,5312.137,8.220676938,0.126894334,72.15199624,CM10.ssp5,2020s,ssp5,18003
15.393,14.207,0.358421022,14.4226,57.41013699,38.772,128.304,372.57,257.81,6132.11,10.35548626,0.125762544,84.93727292,CM11.ssp5,2020s,ssp5,18003
18.4664,14.94957143,0.463137649,15.5241,59.51362417,44.014,120.688,492.28,258.125,6082.619,8.124593857,0.13276762,76.10664777,CM12.ssp5,2020s,ssp5,18003
15.65985,14.114,0.395854549,14.4027,54.59770533,36.781,120.302,375.51,236.135,5451.296,9.613310472,0.127552206,83.56403677,CM1.ssp5,2050s,ssp5,18003
15.51225,14.15042857,0.376720819,14.3272,58.44513725,42.276,122.186,403.86,255.37,5231.114,9.913745588,0.134426484,80.69804164,CM2.ssp5,2050s,ssp5,18003
16.37555,14.404,0.404551645,14.6653,60.09863086,43.338,127.753,367.99,245.18,5548.612,9.339991634,0.1267229,77.03196626,CM3.ssp5,2050s,ssp5,18003
17.1172,14.56185714,0.377881598,14.7965,68.98457127,47.8875,150.355,443.66,290.74,6513.073,10.53595214,0.142349884,81.36063077,CM4.ssp5,2050s,ssp5,18003
15.1647,14.15242857,0.355654805,14.288,57.63102227,40.217,127.382,427.22,271.215,5859.226,10.15404195,0.132141017,83.56428176,CM5.ssp5,2050s,ssp5,18003
15.85785,14.41242857,0.383344659,14.5172,56.83853815,39.8085,121.683,488.11,243.19,5465.48,9.322575255,0.125944405,81.2251062,CM6.ssp5,2050s,ssp5,18003
15.52085,14.29757143,0.396679953,14.3761,53.1833027,37.478,112.706,444.99,241.015,4834.063,9.090545943,0.127319481,80.92662419,CM7.ssp5,2050s,ssp5,18003
15.701,14.34257143,0.385066687,14.4377,58.19836083,40.8905,126.521,404.02,232.665,5590.04,9.717310999,0.128165158,81.54392055,CM8.ssp5,2050s,ssp5,18003
16.3724,14.14085714,0.419362966,14.6263,57.69763178,41.656,120.971,379.09,241.225,5728.99,9.188603992,0.13247734,78.17751611,CM9.ssp5,2050s,ssp5,18003
16.776,14.674,0.428660758,14.7874,61.13575716,43.171,129.786,418.84,249.56,5919.7,9.530817835,0.132762539,79.2765358,CM10.ssp5,2050s,ssp5,18003
15.72195,14.20814286,0.374758728,14.4235,58.13740509,40.1675,128.093,385.75,248.7,5654.02,10.16235263,0.126821164,83.37649221,CM11.ssp5,2050s,ssp5,18003
17.79855,14.39457143,0.432302341,14.883,59.08422778,41.2395,123.259,475.36,273.945,6462.275,8.742706569,0.137856951,81.41644653,CM12.ssp5,2050s,ssp5,18003
