"Model","Scenario","Catchment","Period","Pct_Q95","Pct_BFI"
"CM2.ssp3","ssp3",7012,"2080s",-5.34845719418617,-8.73327229484411
"CM3.ssp3","ssp3",7012,"2080s",-6.58776323102072,-8.76330666892654
"CM4.ssp3","ssp3",7012,"2080s",-7.19041256625618,-13.6560493221935
"CM5.ssp3","ssp3",7012,"2080s",-7.48548951105926,-24.3568516072337
"CM6.ssp3","ssp3",7012,"2080s",-6.70338451464202,-13.1376944694949
"CM7.ssp3","ssp3",7012,"2080s",-9.43759939599364,-10.7057369332943
"CM8.ssp3","ssp3",7012,"2080s",-6.09642331624654,-8.0468822880498
"CM9.ssp3","ssp3",7012,"2080s",-7.76303666271497,-12.1941423844829
"CM10.ssp3","ssp3",7012,"2080s",-3.72210663990999,-10.0754500726633
"CM11.ssp3","ssp3",7012,"2080s",-4.00977120089569,-13.0801452445147
"CM12.ssp3","ssp3",7012,"2080s",-0.483014973950938,-3.55637102587758
"CM1.ssp5","ssp5",7012,"2080s",-8.15302479447119,-15.0214216111647
"CM2.ssp5","ssp5",7012,"2080s",-8.12011753744715,-10.2223125794181
"CM3.ssp5","ssp5",7012,"2080s",-4.20762186327062,-9.22699741134557
"CM4.ssp5","ssp5",7012,"2080s",-4.93090804936278,-15.0430465276477
"CM5.ssp5","ssp5",7012,"2080s",-8.32304047293928,-29.9179162729855
"CM6.ssp5","ssp5",7012,"2080s",-8.11093803944197,-18.536231765143
"CM7.ssp5","ssp5",7012,"2080s",-10.4444908515526,-11.1087175324303
"CM8.ssp5","ssp5",7012,"2080s",-5.77584576372793,-5.8961019303383
"CM9.ssp5","ssp5",7012,"2080s",-8.27183049429729,-11.9995091580197
"CM10.ssp5","ssp5",7012,"2080s",-5.84105633328739,-9.43196936885984
"CM11.ssp5","ssp5",7012,"2080s",-4.45893124206869,-8.69186615013778
"CM12.ssp5","ssp5",7012,"2080s",-3.37493935947379,-8.55529440618393
"CM1.ssp1","ssp1",12001,"2080s",-17.7915893016597,-24.6463765141581
"CM2.ssp1","ssp1",12001,"2080s",-18.4495750610742,-16.1185376457396
"CM3.ssp1","ssp1",12001,"2080s",-6.90614825522488,-8.44992805250662
"CM4.ssp1","ssp1",12001,"2080s",46.1083686098197,13.5989508223769
"CM5.ssp1","ssp1",12001,"2080s",-12.6404733846501,-17.5573808995566
"CM6.ssp1","ssp1",12001,"2080s",-19.7662268311737,-25.1331653669401
"CM7.ssp1","ssp1",12001,"2080s",-31.1617288945431,-22.5344651451167
"CM8.ssp1","ssp1",12001,"2080s",-17.8391551317274,-22.1137771906638
"CM9.ssp1","ssp1",12001,"2080s",-5.31476802035404,2.58498299017941
"CM10.ssp1","ssp1",12001,"2080s",15.9304665350914,-1.28718511818642
"CM11.ssp1","ssp1",12001,"2080s",4.16553144955716,-19.1384792213271
"CM12.ssp1","ssp1",12001,"2080s",-3.85977899665727,-9.42258215937988
"CM1.ssp3","ssp3",12001,"2080s",-40.8954970022536,-47.5073413246202
"CM2.ssp3","ssp3",12001,"2080s",-48.3158567811603,-41.972683287751
"CM3.ssp3","ssp3",12001,"2080s",-37.6129746963699,-24.3997607454315
"CM4.ssp3","ssp3",12001,"2080s",-14.2925206080315,-8.28135693825019
"CM5.ssp3","ssp3",12001,"2080s",-51.126377988951,-55.1546369943282
"CM6.ssp3","ssp3",12001,"2080s",-36.3703188505164,-40.9834803940155
"CM7.ssp3","ssp3",12001,"2080s",-50.6615573711228,-40.4059569811702
"CM8.ssp3","ssp3",12001,"2080s",-32.8775739103732,-36.28190104998
"CM9.ssp3","ssp3",12001,"2080s",-41.9405304102216,-32.6734760129941
"CM10.ssp3","ssp3",12001,"2080s",-19.5386595991237,-21.9172882170217
"CM11.ssp3","ssp3",12001,"2080s",-22.8535066078966,-35.1468987997285
"CM12.ssp3","ssp3",12001,"2080s",-5.48053568825655,-11.1226285664553
"CM1.ssp5","ssp5",12001,"2080s",-48.049417013187,-52.6382178021162
"CM2.ssp5","ssp5",12001,"2080s",-58.0925837516075,-48.8081509740204
"CM3.ssp5","ssp5",12001,"2080s",-25.1989300333689,-26.1110263636897
"CM4.ssp5","ssp5",12001,"2080s",7.02639340542994,-8.00630850694019
"CM5.ssp5","ssp5",12001,"2080s",-57.3887825629111,-59.914895654761
"CM6.ssp5","ssp5",12001,"2080s",-45.4825939196561,-52.5672682747924
"CM7.ssp5","ssp5",12001,"2080s",-56.7500546108477,-51.0809082672775
"CM8.ssp5","ssp5",12001,"2080s",-33.1140476921637,-31.7547723846669
"CM9.ssp5","ssp5",12001,"2080s",-49.4950870265732,-36.5400077204953
"CM10.ssp5","ssp5",12001,"2080s",-27.6442612912195,-31.9371344728344
"CM11.ssp5","ssp5",12001,"2080s",-21.8428212602216,-29.6640678796458
"CM12.ssp5","ssp5",12001,"2080s",-23.5715607644547,-20.3754197624308
"CM1.ssp1","ssp1",14007,"2080s",-2.55727092513348,-7.04493215581657
"CM2.ssp1","ssp1",14007,"2080s",1.20688472879381,-0.63278035285421
"CM3.ssp1","ssp1",14007,"2080s",-0.85670270534027,-5.98718809630709
"CM4.ssp1","ssp1",14007,"2080s",-3.05392291109286,-7.73340984730791
"CM5.ssp1","ssp1",14007,"2080s",-1.46538196737926,-10.4296146708256
"CM6.ssp1","ssp1",14007,"2080s",-3.70458190947765,-8.1263720614466
"CM7.ssp1","ssp1",14007,"2080s",-4.8401807481698,-5.42006339371062
"CM8.ssp1","ssp1",14007,"2080s",-2.18896504502994,-9.63793292031521
"CM9.ssp1","ssp1",14007,"2080s",-0.51811386432459,-4.5729815911493
"CM10.ssp1","ssp1",14007,"2080s",2.66964682363395,-4.16466879710426
"CM11.ssp1","ssp1",14007,"2080s",0.0723127012850534,-6.04699960586395
"CM12.ssp1","ssp1",14007,"2080s",0.413623776740811,-3.08484318460232
"CM1.ssp3","ssp3",14007,"2080s",-6.19829892189669,-15.5219807658658
"CM2.ssp3","ssp3",14007,"2080s",-4.3420421038195,-8.7599689984307
"CM3.ssp3","ssp3",14007,"2080s",-6.20882912649784,-8.48677919000312
"CM4.ssp3","ssp3",14007,"2080s",-7.1323741108232,-10.5953192191202
"CM5.ssp3","ssp3",14007,"2080s",-6.09533195637055,-23.424412603491
"CM6.ssp3","ssp3",14007,"2080s",-5.83722714275751,-13.3234510884301
"CM7.ssp3","ssp3",14007,"2080s",-8.316427206553,-10.2372190167491
"CM8.ssp3","ssp3",14007,"2080s",-5.05774591796097,-12.1132063835698
"CM9.ssp3","ssp3",14007,"2080s",-8.77171802533224,-11.4806912447479
"CM10.ssp3","ssp3",14007,"2080s",-2.92925366503776,-10.7319726165643
"CM11.ssp3","ssp3",14007,"2080s",-3.52709609828884,-13.1797494486251
"CM12.ssp3","ssp3",14007,"2080s",0.112654638546017,-3.27447213500022
"CM1.ssp5","ssp5",14007,"2080s",-7.04495100654777,-14.8741327081038
"CM2.ssp5","ssp5",14007,"2080s",-6.868271274772,-9.90451195350225
"CM3.ssp5","ssp5",14007,"2080s",-3.80532145520957,-9.33188863200957
"CM4.ssp5","ssp5",14007,"2080s",-5.31364329000681,-12.6700301648919
"CM5.ssp5","ssp5",14007,"2080s",-6.75096195179232,-26.0786949874177
"CM6.ssp5","ssp5",14007,"2080s",-7.09393960527234,-18.784479938828
"CM7.ssp5","ssp5",14007,"2080s",-9.17785938957612,-10.8983432057053
"CM8.ssp5","ssp5",14007,"2080s",-4.9166125189517,-9.40826685285229
"CM9.ssp5","ssp5",14007,"2080s",-8.79988732281009,-12.1757705468584
"CM10.ssp5","ssp5",14007,"2080s",-4.88949355841847,-9.94894061062528
"CM11.ssp5","ssp5",14007,"2080s",-4.11265260625558,-8.95978235258212
"CM12.ssp5","ssp5",14007,"2080s",-2.35549324460999,-8.31257747030565
"CM1.ssp1","ssp1",15003,"2080s",-2.98404768286584,-8.95360784469499
"CM2.ssp1","ssp1",15003,"2080s",-3.74636239952501,-5.11731694468945
"CM3.ssp1","ssp1",15003,"2080s",-1.14646630945611,-7.29920155132735
"CM4.ssp1","ssp1",15003,"2080s",9.28226477935054,-2.80281110083022
"CM5.ssp1","ssp1",15003,"2080s",-2.95376735853515,-9.69922380798725
"CM6.ssp1","ssp1",15003,"2080s",-2.63482971412221,-9.83367796243411
"CM7.ssp1","ssp1",15003,"2080s",-6.62712211086112,-7.92530285995785
"CM8.ssp1","ssp1",15003,"2080s",-3.31105204642739,-10.8519131880831
"CM9.ssp1","ssp1",15003,"2080s",-0.731490660040929,-4.47285582619352
"CM10.ssp1","ssp1",15003,"2080s",3.93959628126765,-3.57651093798498
"CM11.ssp1","ssp1",15003,"2080s",-0.376785575761601,-6.47994637104305
"CM12.ssp1","ssp1",15003,"2080s",0.0646573972952574,-4.52316066470377
"CM1.ssp3","ssp3",15003,"2080s",-8.2718277050272,-18.8462183349466
"CM2.ssp3","ssp3",15003,"2080s",-10.7294903232506,-14.3227695368248
"CM3.ssp3","ssp3",15003,"2080s",-8.28922626450091,-10.9074844119164
"CM4.ssp3","ssp3",15003,"2080s",-2.85428809325562,-8.83088540343284
"CM5.ssp3","ssp3",15003,"2080s",-11.0220859367701,-21.6858205181938
"CM6.ssp3","ssp3",15003,"2080s",-8.24288744542296,-16.1915149181649
"CM7.ssp3","ssp3",15003,"2080s",-11.3713922769698,-13.9275261313974
"CM8.ssp3","ssp3",15003,"2080s",-6.7868235371247,-13.794252925162
"CM9.ssp3","ssp3",15003,"2080s",-12.0779638760508,-13.6014413873793
"CM10.ssp3","ssp3",15003,"2080s",-4.46999413372406,-11.1997067920661
"CM11.ssp3","ssp3",15003,"2080s",-4.83504549131731,-14.7534393443511
"CM12.ssp3","ssp3",15003,"2080s",0.0690041130798047,-4.48071318565379
