Station No.,Easting ,Northing,FEMI AREA,CENTE (m),CENTN (m),SAAR (mm),FARL (index),URBEXT (Prop),FOREST (Prop),PEAT (Prop),ALLUV (Prop),FLATWET (index),SAAPE (mm),FAI (Prop),BFIsoil (index),NETLEN (km),STMFRQ (no.),DRAIND (km/km^2),MSL (km),S1085 (m/km),TAYSLO,ARTDRAIN (Prop),ARTDRAIN2 (Prop),Period,cliffs_delta,Comparison,Indicator
6013,304411,290750,309.15,287730,287060,873.08,0.971,0.009,0.0244,0.0001,0.0523,0.6,506.39,0.16,0.6165,345.391,275,1.117,53.967,2.58328,0.205344,0.1688,0.782,2080s,-0.736111111,SSP5 vs SSP1,Pct_Q95
6014,295342,297821,270.38,284150,302550,927.45,0.927,0.0116,0.044,0.0006,0.0446,0.62,498.8,0.12,0.6341,234.075,235,0.866,34.392,2.78197,0.192251,0.1302,0.6586,2080s,-0.736111111,SSP5 vs SSP1,Pct_Q95
7009,287873,266775,1658.19,269546,253853,868.55,0.986,0.0076,0.043,0.0701,0.037,0.6,506.59,0.22,0.7126,1397.966,1152,0.843,81.019,0.5564,0.173253,0.2673,0.728,2080s,-0.888888889,SSP5 vs SSP1,Pct_Q95
7012,294980,274000,2460.27,269180,265280,890.06,0.965,0.0091,0.0402,0.0512,0.0351,0.61,503.96,0.2,0.6775,2145.719,1773,0.872,93.668,0.69738,0.171978,0.2124,0.6059,2080s,-0.902777778,SSP5 vs SSP1,Pct_Q95
12001,298397,145073,1030.75,295230,173740,1167.31,0.999,0.006,0.1143,0.07,0.0481,0.54,521.7,0.1,0.7161,1101.02,1302,1.068,89.282,2.09929,0.344662,0,0,2080s,-0.791666667,SSP3 vs SSP1,Pct_Q95
14007,261424,199067,118.5913,255452,193866,814.07,1,0.0067,0.0935,0,0.0977,0.57,508.15,0.11,0.6417,64.673,35,0.545,20.533,3.9219,0.664811,0,0,2080s,-0.791666667,SSP3 vs SSP1,Pct_Q95
15003,247934,162890,299.114,257240,174880,934,0.997,0.006,0.172,0,0.03,0.57,508,0.078,0.549,325.759,317,1.089,34.776,3.864,0.885,0,0,2080s,-0.763888889,SSP3 vs SSP1,Pct_Q95
15006,261733,139160,2418.27,237100,165180,941.92,0.999,0.0088,0.1058,0.0227,0.045,0.58,513.43,0.17,0.6332,2196.723,1956,0.908,117.42,0.94122,0.212384,0,0.0021,2080s,-0.722222222,SSP3 vs SSP1,Pct_Q95
15007,236195,189955,339.748,223020,192070,1123.05,0.997,0.0073,0.2132,0.1024,0.045,0.6,498.29,0.2529,0.594361849,394.212,353,1.16,38.182,1.08695,0.272599,0,0,2080s,-0.763888889,SSP3 vs SSP1,Pct_Q95
16008,200193,134176,1090.25,209000,158030,1029.63,0.999,0.0067,0.0835,0.0465,0.0463,0.59,516.01,0.22,0.6351,1074.903,1195,0.986,68.615,0.92085,0.249177,0,0,2080s,-0.847222222,SSP3 vs SSP1,Pct_Q95
16011,220860,122208,2143.67,203990,144850,1124.95,0.998,0.0073,0.1227,0.0819,0.0488,0.59,519.47,0.19,0.6695,2240.004,2743,1.045,116.477,0.95268,0.200156,0,0,2080s,-0.888888889,SSP3 vs SSP1,Pct_Q95
18002,196493,99111,2333.69,156370,104360,1200.37,0.999,0.0061,0.1447,0.0528,0.0421,0.62,515.65,0.12,0.622,2236.95,2040,0.959,129.081,1.34264,0.191828,0,0,2080s,-0.833333333,SSP3 vs SSP1,Pct_Q95
18003,164677,99735,1256.698,137670,102000,1298.99,0.999,0.0074,0.1217,0.0624,0.0413,0.63,508.73,0.1145,0.460715621,1274.337,1168,1.014,89.839,1.65857,0.233047,0,0,2080s,-0.861111111,SSP3 vs SSP1,Pct_Q95
18006,152546,97448,1054.784,133320,102000,1331.55,0.999,0.0047,0.1249,0.0743,0.0428,0.63,507.84,0.1119,0.500080097,1084.257,998,1.028,75.525,1.91796,0.268536,0,0,2080s,-0.861111111,SSP3 vs SSP1,Pct_Q95
18050,124987,94359,249.777,118450,97670,1469.19,0.999,0.0036,0.1203,0.1836,0.0349,0.64,505.59,0.1158,0.404748856,295.601,261,1.183,36.941,3.19465,0.532819,0,0,2080s,-0.833333333,SSP3 vs SSP1,Pct_Q95
